actor_id,type,frame,speed (m/s),heading (rad),yaw_rate (rad/s)
6f6da3251c4c4398b45e47aeb030682b,barrier,0,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,1,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,2,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,3,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,4,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,5,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,6,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,7,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,8,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,9,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,10,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,11,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,12,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,13,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,14,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,15,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,16,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,17,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,18,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,19,0.0,0.0,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,20,0.0,1.191,11.911
6f6da3251c4c4398b45e47aeb030682b,barrier,21,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,22,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,23,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,24,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,25,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,26,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,27,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,28,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,29,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,30,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,31,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,32,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,33,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,34,0.0,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,35,0.04,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,36,0.04,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,37,0.04,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,38,0.04,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,39,0.04,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,40,0.04,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,41,0.04,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,42,0.04,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,43,0.04,1.191,0.0
6f6da3251c4c4398b45e47aeb030682b,barrier,44,0.04,1.191,0.0
